한자,뜻,훈,음
跳,뛸 도,ちょう,はねる、とぶ
塗,칠할 도,と,ぬる
稲,벼 도,とう,いね、いな
賭,내기 도,と,かける
読,읽을 독,どく、とく、とう,よむ
毒,독 독,どく,
独,홀로 독,どく,ひとり
督,감독할 독,とく,
篤,도타울 독,とく,
豚,돼지 돈,とん,ぶた
頓,조아릴 돈,とん,
突,갑자기 돌,とつ,つく
冬,겨울 동,とう,ふゆ
同,한가지 동,どう,おなじ
東,동녘 동,とう,ひがし
動,움직일 동,どう,うごく、うごかす
童,아이 동,どう,わらべ
働,일할 동,どう,はたらく
銅,구리 동,どう,
洞,골 동、밝을 통,どう,ほら
凍,얼 동,とう,こおる、こごえる
胴,몸통 동,どう,
棟,마룻대 동,とう,むね、むな
憧,동경할 동,どう、しょう,あこがれる
瞳,눈동자 동,どう,ひとみ
頭,머리 두,とう、ず、と,あたま、かしら
豆,콩 두,とう、ず,まめ
斗,말 두,ととう,
痘,역질 두,とん,
屯,진칠 둔,どん,
鈍,둔할 둔,とく,にぶい、にぶる
得,얻을 득,とう、と,える、うる
登,오를 등,とう,のぼる
等,무리 등,とうとう,ひとしい
灯,등불 등,とう,ひ
謄,베낄 등,とう,
藤,등나무 등,とう,ふじ
騰,오를 등,とう,
裸,벗을 라,ら,はだか
羅,벌일 라,ら,
楽,즐길 락、노래 악,らく、がく,たのしい、たのしむ
落,떨어질 락,らく,おちる、おとす
絡,이을、얽을 락,らく,からむ、からまる、からめる
酪,쇠젖 락,らく,
卵,알 란,らん,たまご
乱,어지러울 란,らん,みだれる、みだす
欄,난간 란,らん,
辣,매울 랄,らつ,
覧,볼 람,らん,
嵐,남기 람,らん,あらし
濫,넘칠 람,らん,
藍,쪽 람,らん,あい
拉,끌 랍,ら,
朗,밝을 랑,ろう,ほがらか
郎,사내 랑,ろう,
浪,물결 랑,ろう,
廊,행랑 랑,ろう,
来,올 래,らい,くる、きたる、きたす
冷,찰 랭,れい,つめたい、ひえる、ひや、ひやす、ひやかす、ひめる、さます
略,간략할 략,りゃく,
両,두 량,りょう,
良,어질 량,りょう,よい
量,헤아릴 량,りょう,はかる
涼,서늘할 량,りょう,すずしい、すずむ
糧,양식 량,りょう、ろう,かて
旅,나그네 려,りょ,たび
戻,어그러질 려,れい,もどす、もどる
呂,음률 려,ろ,
励,힘쓸 려,れい,はげむ、はげます
侶,짝 려,りょ,
慮,생각할 려,りょ,
麗,고울 려,れい,うるわしい
力,힘 력,りょく、りき,ちから
歴,지낼 력,れき,
暦,책력 력,れき,こよみ
練,익힐 련,れん,ねる
連,잇닿을 련,れん,つらなる、つらねる、つれる
